run_index,success,error_stage,goal,n_operations,n_crs_transform_calls,latency_s,attempt_count,repaired
0,True,,Determine distance to nearest hospital for each mahalle and identify underserved areas,4,2,14.574,1,False
1,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,13.939,1,False
2,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,14.368,1,False
3,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,14.039,1,False
4,True,,Determine distance to nearest hospital for each mahalle and identify underserved areas,4,2,14.079,1,False
5,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,13.96,1,False
6,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,14.752,1,False
7,True,,Determine distance to nearest hospital and identify underserved mahalle,4,2,13.403,1,False
8,True,,Determine distance to nearest hospital for each mahalle and identify underserved areas,4,2,14.303,1,False
9,True,,distance_to_nearest_hospital,4,2,18.303,1,False
10,True,,Determine distance to nearest hospital for each mahalle,4,2,14.822,1,False
11,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,14.842,1,False
12,True,,calculate_distance_to_nearest_hospital,4,2,14.304,1,False
13,True,,Determine distance to nearest hospital for each mahalle,4,2,14.365,1,False
14,False,generation,,0,0,1.075,0,False
15,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,13.952,1,False
16,True,,calculate_distance_to_nearest_hospital,4,2,14.445,1,False
17,True,,Determine distance from mahalle to nearest hospital and identify underserved mahalle,4,2,13.399,1,False
18,False,generation,,0,0,1.347,0,False
19,True,,Determine distance to nearest hospital for each mahalle and identify underserved areas,4,2,14.965,1,False
